lat,lon,fire_risk
8.0,76.0,0.0
8.0,76.8,0.0
8.0,77.6,0.0
8.0,78.39999999999999,0.0
8.0,79.19999999999999,0.0
8.8,76.0,0.0
8.8,76.8,0.0
8.8,77.6,0.003
8.8,78.39999999999999,0.004714285714285715
8.8,79.19999999999999,0.0
9.600000000000001,76.0,0.0
9.600000000000001,76.8,0.0
9.600000000000001,77.6,0.00525
9.600000000000001,78.39999999999999,0.005571428571428572
9.600000000000001,79.19999999999999,0.006
10.400000000000002,76.0,0.006
10.400000000000002,76.8,0.006
10.400000000000002,77.6,0.0056129032258064515
10.400000000000002,78.39999999999999,0.0
10.400000000000002,79.19999999999999,0.0045000000000000005
11.200000000000003,76.0,0.006
11.200000000000003,76.8,0.005907692307692308
11.200000000000003,77.6,0.0055000000000000005
11.200000000000003,78.39999999999999,0.00375
11.200000000000003,79.19999999999999,0.004941176470588235
12.000000000000004,76.0,0.004
12.000000000000004,76.8,0.0
12.000000000000004,77.6,0.0048
12.000000000000004,78.39999999999999,0.00525
12.000000000000004,79.19999999999999,0.0053076923076923075
12.800000000000004,76.0,0.006
12.800000000000004,76.8,0.006
12.800000000000004,77.6,0.0051
12.800000000000004,78.39999999999999,0.0045000000000000005
12.800000000000004,79.19999999999999,0.00490909090909091
13.600000000000005,76.0,0.0
13.600000000000005,76.8,0.0
13.600000000000005,77.6,0.0
13.600000000000005,78.39999999999999,0.0
13.600000000000005,79.19999999999999,0.0
